resource_id,resource_slug,resource_name,organization,url,short_description,horizontal_theme,horizontal_value,vertical_stage,vertical_value,identity_community,access_mode,geography,resource_type,eligibility_notes
R001,211,211,United Way / 211,https://www.211.org/,"24/7 service that connects people to local housing, bill, food, health, and crisis resources.",Stay,9,Now,9,general Gen Z,phone;online;immediate help,national,hotline;directory,Varies by local provider
R002,national-runaway-safeline,National Runaway Safeline,National Runaway Safeline,https://www.1800runaway.org/,"24/7 crisis support and local referrals for youth in crisis, including runaway and homelessness situations.",Stay,7,Now,7,general Gen Z,phone;text;chat;immediate help,national,hotline;crisis support,Primarily youth and young adults in crisis
R003,get-emergency-housing,Get Emergency Housing,USAGov,https://www.usa.gov/emergency-housing,"Federal landing page for immediate homelessness and short-term housing help, including 211 referrals.",Stay,10,Now,11,general Gen Z,online;immediate help,national,government program;directory,Routes to local programs
R004,covenant-house,Covenant House,Covenant House,https://www.covenanthouse.org/,"Youth homelessness organization offering shelter, food, case management, and supportive services.",Stay,9,Now,9,general Gen Z,in-person;online;immediate help,local,nonprofit;shelter,Programs vary by city and age range
R005,runaway-and-homeless-youth-program,Runaway and Homeless Youth Program,Administration for Children and Families,https://acf.gov/fysb/programs/runaway-homeless-youth,"Federal program supporting street outreach, emergency shelters, transitional living, and maternity group homes.",Stay,8,Now,12,general Gen Z,online;referral-based,national,government program,Delivered through local grantees
R006,the-trevor-project-get-help,The Trevor Project — Get Help,The Trevor Project,https://www.thetrevorproject.org/get-help/,"24/7 crisis counseling by phone, text, or chat for LGBTQ+ young people.",Belong,71,Now,7,LGBTQ+,phone;text;chat;immediate help,national,hotline;community org,Focused on LGBTQ+ young people
R007,lgbt-national-youth-talkline,LGBT National Youth Talkline,LGBT National Help Center,https://lgbthotline.org/,"Peer support hotline offering confidential support, information, and local or national LGBTQ+ resources.",Belong,71,Now,7,LGBTQ+,phone;online;immediate help,national,hotline;community org,Youth-focused and general LGBTQ+ lines available
R008,one-n-ten-housing-programs,one·n·ten Housing Programs,one·n·ten,https://onenten.org/lgbtq-programs/housing/,"Arizona-based LGBTQ+ youth housing assistance and supportive services, including the POND housing program.",Find,57,Next,38,LGBTQ+,in-person;referral-based,local,nonprofit;housing program,Arizona-focused LGBTQ+ youth and young adults
R009,emergency-rental-assistance-program,Emergency Rental Assistance Program,U.S. Department of the Treasury,https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/emergency-rental-assistance-program,"Federal ERA program page covering rent, rental arrears, utilities, and housing stability services.",Afford,24,Next,38,general Gen Z,online;referral-based,national,government program,Availability depends on local program status
R010,state-and-local-rental-assistance,State and Local Rental Assistance,National Low Income Housing Coalition,https://nlihc.org/rental-assistance,Searchable database of rental and utility assistance programs by state and locality.,Afford,26,Next,40,general Gen Z,online,national,directory;nonprofit,Program status varies by location
